          artist                           title                  play_count
--------------------------  ------------------------------------  ----------
Bob Marley and The Wailers  Three Little Birds                             1
Crowded House               Don't Dream It's Over                          2
Daryl Hall and John Oates   You Make My Dreams                             1
Depeche Mode                Personal Jesus                                 1
Fleetwood Mac               Everywhere                                     2
Journey                     Don't Stop Believin'                           1
Luther Vandross             Never Too Much                                 1
Rick James                  Superfreak                                     2
Talk Talk                   It's My Life                                   2
The Proclaimers             I'm Gonna Be                                   2
The Smiths                  How Soon Is Now?                               1
The Smiths                  The Boy With A Thorn In His Side               1
The Smiths                  There Is A Light That Never Goes Out           1
Tom Petty                   Free Falling                                   2
