artist                                  title                                           play_count
--------------------------------------  ----------------------------------------------  ----------
A Flock Of Seagulls                     I Ran                                           7         
Abba                                    Lay All Your Love On Me                         2         
Aerosmith                               Love In An Elevator                             53        
Asia                                    Heat Of The Moment                              1         
Bad Manners                             Lip Up Fatty                                    6         
Bad Manners                             Ne-ne Na-na Na-na Nu-nu                         1         
Beloved                                 The Sun Rising                                  1         
Big Country                             Fields Of Fire                                  35        
Billy Idol                              Eyes Without A Face                             3         
Billy Joel                              The Longest Time                                2         
Bob Marley and The Wailers              Buffalo Soldier                                 1         
Bob Marley and The Wailers              Could You Be Loved                              63        
Bob Marley and The Wailers              One Love                                        47        
Bob Marley and The Wailers              Three Little Birds                              29        
Bobby Brown                             Every Little Step                               6         
Bodysnatchers                           Let's Do Rock Steady                            3         
Bon Jovi                                Bad Medicine                                    39        
Bon Jovi                                You Give Love A Bad Name                        48        
Brenda Russell                          Piano In The Dark                               1         
Bruce Springsteen                       Born In The USA                                 1         
Bruce Springsteen                       Hungry Heart                                    26        
Bryan Adams                             Heat Of The Night                               1         
Christopher Cross                       Ride Like The Wind                              5         
Clash                                   I Fought The Law                                4         
Clash                                   Should I Stay Or Should I Go                    50        
Coldcut and Lisa Stansfield             People Hold On                                  9         
Creatures                               Miss The Girl                                   1         
Crowded House                           Don't Dream It's Over                           46        
Cure                                    In Between Days                                 24        
Cure                                    Just Like Heaven                                32        
Cure                                    Lullaby                                         5         
Cure                                    Why Can't I Be You                              5         
Daryl Hall and John Oates               You Make My Dreams                              45        
David Bowie                             Magic Dance                                     1         
David Grant                             Stop And Go                                     1         
De La Soul                              Me Myself & I                                   3         
De La Soul                              Say No Go                                       1         
Deacon Blue                             Dignity                                         59        
Def Leppard                             Love Bites                                      3         
Depeche Mode                            Personal Jesus                                  37        
Depeche Mode                            Shake The Disease                               5         
Dire Straits                            Your Latest Trick                               1         
Edie Brickell and The New Bohemians     What I Am                                       42        
Elvis Costello                          Everyday I Write The Book                       1         
Fleetwood Mac                           Everywhere                                      64        
Fleetwood Mac                           Gypsy                                           2         
Four Tops                               Loco In Acapulco                                5         
Freddie Mercury and Queen               I Was Born To Love You                          2         
Fun Boy Three                           The Telephone Always Rings                      1         
Gary Moore                              Over The Hills And Far Away                     1         
Genesis                                 Tonight Tonight Tonight                         2         
Georgia Satellites                      Battleship Chains                               1         
Gloria Estefan and Miami Sound Machine  Get On Your Feet                                10        
Gloria Estefan and Miami Sound Machine  Rhythm Is Gonna Get You                         5         
Grandmaster Flash                       The Message                                     29        
Hall and Oates                          Out Of Touch                                    42        
Heart                                   These Dreams                                    32        
Hue and Cry                             Violently                                       1         
Huey Lewis and The News                 Back In Time                                    1         
Inxs                                    Never Tear Us Apart                             3         
Inxs and Jimmy Barnes                   Good Times                                      6         
J Geils Band                            Freeze Frame                                    1         
Janet Jackson                           Rhythm Nation                                   6         
Jocelyn Brown                           Somebody Else's Guy                             1         
Johnny Hates Jazz                       Turn Back The Clock                             1         
Journey                                 Don't Stop Believin'                            77        
Kim Wilde                               View From A Bridge                              1         
Lightning Seeds                         Pure                                            38        
Luther Vandross                         Never Too Much                                  33        
Madonna                                 Open Your Heart                                 20        
New Order                               Bizarre Love Triangle                           6         
New Order                               Thieves Like Us                                 1         
Omd                                     Forever Live And Die                            30        
Omd                                     If You Leave                                    1         
Pat Benatar                             Hit Me With Your Best Shot                      28        
Paul McCartney                          Take It Away                                    1         
Paul Simon                              Diamonds On The Soles Of Her Shoes              4         
Paul Simon                              Graceland                                       1         
Poison                                  Your Mama Don't Dance                           1         
Prefab Sprout                           Nightingales                                    1         
Prince                                  Controversy                                     1         
Prince                                  I Would Die 4 U                                 3         
Prince                                  Nothing Compares 2 U                            1         
Proclaimers                             I'm Gonna Be                                    61        
Psychedelic Furs                        Pretty In Pink                                  40        
Queen                                   Hammer To Fall                                  30        
Queen                                   Who Wants To Live Forever                       2         
R.E.M                                   Stand.                                          28        
REO Speedwagon                          Can't Fight This Feeling                        65        
Ramones                                 Baby I Love You                                 5         
Rick James                              Superfreak                                      7         
Rick Springfield                        Jessie's Girl                                   1         
Robert Palmer                           Johnny & Mary                                   66        
Roxy Music                              Avalon                                          1         
Rush                                    Tom Sawyer                                      1         
S.O.S. Band                             Just Be Good To Me                              2         
Sade                                    The Sweetest Taboo                              1         
Shannon                                 Give Me Tonight                                 1         
Simple Minds                            Love Song                                       3         
Simple Minds                            Sweat In Bullet                                 1         
Smiths                                  Ask                                             28        
Smiths                                  Heaven Knows I'm Miserable Now                  26        
Smiths                                  How Soon Is Now?                                31        
Smiths                                  Please, Please, Please, Let Me Get What I Want  2         
Smiths                                  Stop Me If You've Heard This One Before         2         
Smiths                                  That Joke Isn't Funny Anymore                   1         
Smiths                                  The Boy With A Thorn In His Side                5         
Smiths                                  There Is A Light That Never Goes Out            2         
Smiths                                  This Charming Man                               33        
Smiths                                  William, It Was Really Nothing                  3         
Soul II Soul                            Keep On Moving                                  35        
Stevie Nicks                            Edge Of Seventeen                               5         
Stone Roses                             What The World Is Waiting For                   1         
Stranglers                              Always The Sun                                  3         
Style Council                           Long Hot Summer                                 1         
Style Council                           Money Go Round Part 1                           1         
Style Council                           You're The Best Thing                           38        
Suzi Quatro                             Mama's Boy                                      1         
T'Pau                                   Only The Lonely                                 1         
Talk Talk                               It's My Life                                    73        
Talking Heads                           Burning Down The House                          5         
Tears For Fears                         Mothers Talk                                    1         
Tears For Fears                         Woman In Chains                                 1         
Throwing Muses                          Dizzy                                           2         
Tom Petty                               Free Falling                                    70        
Tone Loc                                Wild Thing                                      1         
Tracy Chapman                           Baby Can I Hold You                             16        
Tracy Chapman                           Talkin' 'bout A Revolution                      13        
U2                                      Gloria                                          1         
Yello                                   Oh Yeah                                         1         
Zodiac Mindwarp                         Prime Mover                                     1         
